"","reef_name","report_year","site_no","transect_no","group_code","total_cover"
"1","hyde_reef",1995,1,1,"ab",0.574712643678161
"2","hyde_reef",1995,1,1,"ca",9.19540229885057
"3","hyde_reef",1995,1,1,"hc",39.6551724137931
"4","hyde_reef",1995,1,1,"ma",1.14942528735632
"5","hyde_reef",1995,1,1,"ot",9.19540229885057
"6","hyde_reef",1995,1,1,"sc",16.6666666666667
"7","hyde_reef",1995,1,1,"sp",10.3448275862069
"8","hyde_reef",1995,1,1,"ta",13.7931034482759
"9","hyde_reef",1995,1,2,"ab",0
"10","hyde_reef",1995,1,2,"ca",7
"11","hyde_reef",1995,1,2,"hc",30.5
"12","hyde_reef",1995,1,2,"ma",1.5
"13","hyde_reef",1995,1,2,"ot",1
"14","hyde_reef",1995,1,2,"sc",33.5
"15","hyde_reef",1995,1,2,"sp",2.5
"16","hyde_reef",1995,1,2,"ta",24
"17","hyde_reef",1995,1,3,"ab",0
"18","hyde_reef",1995,1,3,"ca",14.3589743589744
"19","hyde_reef",1995,1,3,"hc",28.2051282051282
"20","hyde_reef",1995,1,3,"ma",1.53846153846154
"21","hyde_reef",1995,1,3,"ot",4.1025641025641
"22","hyde_reef",1995,1,3,"sc",36.9230769230769
"23","hyde_reef",1995,1,3,"sp",1.02564102564103
"24","hyde_reef",1995,1,3,"ta",13.8461538461538
"25","hyde_reef",1995,1,4,"ab",1.14285714285714
"26","hyde_reef",1995,1,4,"ca",0
"27","hyde_reef",1995,1,4,"hc",22.2857142857143
"28","hyde_reef",1995,1,4,"ma",0
"29","hyde_reef",1995,1,4,"ot",0
"30","hyde_reef",1995,1,4,"sc",54.2857142857143
"31","hyde_reef",1995,1,4,"sp",4.57142857142857
"32","hyde_reef",1995,1,4,"ta",17.7142857142857
"33","hyde_reef",1995,1,5,"ab",0
"34","hyde_reef",1995,1,5,"ca",6.28571428571429
"35","hyde_reef",1995,1,5,"hc",21.7142857142857
"36","hyde_reef",1995,1,5,"ma",0.571428571428571
"37","hyde_reef",1995,1,5,"ot",2.85714285714286
"38","hyde_reef",1995,1,5,"sc",50.8571428571429
"39","hyde_reef",1995,1,5,"sp",6.28571428571429
"40","hyde_reef",1995,1,5,"ta",11.4285714285714
"41","hyde_reef",1995,2,1,"ab",2.22222222222222
"42","hyde_reef",1995,2,1,"ca",0.555555555555556
"43","hyde_reef",1995,2,1,"hc",7.77777777777778
"44","hyde_reef",1995,2,1,"ma",1.11111111111111
"45","hyde_reef",1995,2,1,"ot",1.11111111111111
"46","hyde_reef",1995,2,1,"sc",42.2222222222222
"47","hyde_reef",1995,2,1,"sp",15.5555555555556
"48","hyde_reef",1995,2,1,"ta",29.4444444444444
"49","hyde_reef",1995,2,2,"ab",0.606060606060606
"50","hyde_reef",1995,2,2,"ca",6.06060606060606
"51","hyde_reef",1995,2,2,"hc",12.1212121212121
"52","hyde_reef",1995,2,2,"ma",1.21212121212121
"53","hyde_reef",1995,2,2,"ot",1.21212121212121
"54","hyde_reef",1995,2,2,"sc",41.8181818181818
"55","hyde_reef",1995,2,2,"sp",15.1515151515152
"56","hyde_reef",1995,2,2,"ta",21.8181818181818
"57","hyde_reef",1995,2,3,"ab",0.588235294117647
"58","hyde_reef",1995,2,3,"ca",0.588235294117647
"59","hyde_reef",1995,2,3,"hc",18.2352941176471
"60","hyde_reef",1995,2,3,"ma",0
"61","hyde_reef",1995,2,3,"ot",2.35294117647059
"62","hyde_reef",1995,2,3,"sc",49.4117647058824
"63","hyde_reef",1995,2,3,"sp",14.1176470588235
"64","hyde_reef",1995,2,3,"ta",14.7058823529412
"65","hyde_reef",1995,2,4,"ab",0
"66","hyde_reef",1995,2,4,"ca",8
"67","hyde_reef",1995,2,4,"hc",10.2857142857143
"68","hyde_reef",1995,2,4,"ma",0
"69","hyde_reef",1995,2,4,"ot",4.57142857142857
"70","hyde_reef",1995,2,4,"sc",56.5714285714286
"71","hyde_reef",1995,2,4,"sp",8
"72","hyde_reef",1995,2,4,"ta",12.5714285714286
"73","hyde_reef",1995,2,5,"ab",0
"74","hyde_reef",1995,2,5,"ca",1.11111111111111
"75","hyde_reef",1995,2,5,"hc",18.8888888888889
"76","hyde_reef",1995,2,5,"ma",1.11111111111111
"77","hyde_reef",1995,2,5,"ot",1.11111111111111
"78","hyde_reef",1995,2,5,"sc",45.5555555555556
"79","hyde_reef",1995,2,5,"sp",7.77777777777778
"80","hyde_reef",1995,2,5,"ta",24.4444444444444
"81","hyde_reef",1995,3,1,"ab",0
"82","hyde_reef",1995,3,1,"ca",6.66666666666667
"83","hyde_reef",1995,3,1,"hc",13.3333333333333
"84","hyde_reef",1995,3,1,"ma",1.21212121212121
"85","hyde_reef",1995,3,1,"ot",1.21212121212121
"86","hyde_reef",1995,3,1,"sc",42.4242424242424
"87","hyde_reef",1995,3,1,"sp",18.1818181818182
"88","hyde_reef",1995,3,1,"ta",16.969696969697
"89","hyde_reef",1995,3,2,"ab",2.94117647058824
"90","hyde_reef",1995,3,2,"ca",0.588235294117647
"91","hyde_reef",1995,3,2,"hc",15.8823529411765
"92","hyde_reef",1995,3,2,"ma",0.588235294117647
"93","hyde_reef",1995,3,2,"ot",0
"94","hyde_reef",1995,3,2,"sc",44.1176470588235
"95","hyde_reef",1995,3,2,"sp",13.5294117647059
"96","hyde_reef",1995,3,2,"ta",22.3529411764706
"97","hyde_reef",1995,3,3,"ab",0.571428571428571
"98","hyde_reef",1995,3,3,"ca",4.57142857142857
"99","hyde_reef",1995,3,3,"hc",9.14285714285714
"100","hyde_reef",1995,3,3,"ma",0
"101","hyde_reef",1995,3,3,"ot",0.571428571428571
"102","hyde_reef",1995,3,3,"sc",56.5714285714286
"103","hyde_reef",1995,3,3,"sp",10.8571428571429
"104","hyde_reef",1995,3,3,"ta",17.7142857142857
"105","hyde_reef",1995,3,4,"ab",1.25
"106","hyde_reef",1995,3,4,"ca",0.625
"107","hyde_reef",1995,3,4,"hc",6.25
"108","hyde_reef",1995,3,4,"ma",0
"109","hyde_reef",1995,3,4,"ot",1.25
"110","hyde_reef",1995,3,4,"sc",52.5
"111","hyde_reef",1995,3,4,"sp",12.5
"112","hyde_reef",1995,3,4,"ta",25.625
"113","hyde_reef",1995,3,5,"ab",1.21212121212121
"114","hyde_reef",1995,3,5,"ca",5.45454545454545
"115","hyde_reef",1995,3,5,"hc",9.6969696969697
"116","hyde_reef",1995,3,5,"ma",0
"117","hyde_reef",1995,3,5,"ot",1.21212121212121
"118","hyde_reef",1995,3,5,"sc",47.2727272727273
"119","hyde_reef",1995,3,5,"sp",16.969696969697
"120","hyde_reef",1995,3,5,"ta",18.1818181818182
"121","hyde_reef",1996,1,1,"ab",1
"122","hyde_reef",1996,1,1,"ca",11.5
"123","hyde_reef",1996,1,1,"hc",35.5
"124","hyde_reef",1996,1,1,"ma",2
"125","hyde_reef",1996,1,1,"ot",9.5
"126","hyde_reef",1996,1,1,"sc",16.5
"127","hyde_reef",1996,1,1,"sp",11
"128","hyde_reef",1996,1,1,"ta",13
"129","hyde_reef",1996,1,2,"ab",0
"130","hyde_reef",1996,1,2,"ca",8.5
"131","hyde_reef",1996,1,2,"hc",31
"132","hyde_reef",1996,1,2,"ma",1
"133","hyde_reef",1996,1,2,"ot",5.5
"134","hyde_reef",1996,1,2,"sc",37
"135","hyde_reef",1996,1,2,"sp",4.5
"136","hyde_reef",1996,1,2,"ta",12.5
"137","hyde_reef",1996,1,3,"ab",0.5
"138","hyde_reef",1996,1,3,"ca",8.5
"139","hyde_reef",1996,1,3,"hc",23.5
"140","hyde_reef",1996,1,3,"ma",3.5
"141","hyde_reef",1996,1,3,"ot",3.5
"142","hyde_reef",1996,1,3,"sc",43.5
"143","hyde_reef",1996,1,3,"sp",3.5
"144","hyde_reef",1996,1,3,"ta",13.5
"145","hyde_reef",1996,1,4,"ab",0.5
"146","hyde_reef",1996,1,4,"ca",5
"147","hyde_reef",1996,1,4,"hc",22
"148","hyde_reef",1996,1,4,"ma",1
"149","hyde_reef",1996,1,4,"ot",5.5
"150","hyde_reef",1996,1,4,"sc",52
"151","hyde_reef",1996,1,4,"sp",2
"152","hyde_reef",1996,1,4,"ta",12
"153","hyde_reef",1996,1,5,"ab",0
"154","hyde_reef",1996,1,5,"ca",3
"155","hyde_reef",1996,1,5,"hc",19.5
"156","hyde_reef",1996,1,5,"ma",0.5
"157","hyde_reef",1996,1,5,"ot",3.5
"158","hyde_reef",1996,1,5,"sc",55
"159","hyde_reef",1996,1,5,"sp",5
"160","hyde_reef",1996,1,5,"ta",13.5
"161","hyde_reef",1996,2,1,"ab",3.01507537688442
"162","hyde_reef",1996,2,1,"ca",4.02010050251256
"163","hyde_reef",1996,2,1,"hc",12.5628140703518
"164","hyde_reef",1996,2,1,"ma",1.00502512562814
"165","hyde_reef",1996,2,1,"ot",2.51256281407035
"166","hyde_reef",1996,2,1,"sc",45.7286432160804
"167","hyde_reef",1996,2,1,"sp",12.5628140703518
"168","hyde_reef",1996,2,1,"ta",19.0954773869347
"169","hyde_reef",1996,2,2,"ab",4.5
"170","hyde_reef",1996,2,2,"ca",3
"171","hyde_reef",1996,2,2,"hc",11.5
"172","hyde_reef",1996,2,2,"ma",1
"173","hyde_reef",1996,2,2,"ot",1.5
"174","hyde_reef",1996,2,2,"sc",44
"175","hyde_reef",1996,2,2,"sp",10
"176","hyde_reef",1996,2,2,"ta",24.5
"177","hyde_reef",1996,2,3,"ab",3.51758793969849
"178","hyde_reef",1996,2,3,"ca",3.01507537688442
"179","hyde_reef",1996,2,3,"hc",18.5929648241206
"180","hyde_reef",1996,2,3,"ma",0
"181","hyde_reef",1996,2,3,"ot",2.01005025125628
"182","hyde_reef",1996,2,3,"sc",40.2010050251256
"183","hyde_reef",1996,2,3,"sp",13.5678391959799
"184","hyde_reef",1996,2,3,"ta",19.5979899497487
"185","hyde_reef",1996,2,4,"ab",0.5
"186","hyde_reef",1996,2,4,"ca",3.5
"187","hyde_reef",1996,2,4,"hc",14.5
"188","hyde_reef",1996,2,4,"ma",0
"189","hyde_reef",1996,2,4,"ot",3
"190","hyde_reef",1996,2,4,"sc",61
"191","hyde_reef",1996,2,4,"sp",6
"192","hyde_reef",1996,2,4,"ta",11.5
"193","hyde_reef",1996,2,5,"ab",2.01005025125628
"194","hyde_reef",1996,2,5,"ca",4.52261306532663
"195","hyde_reef",1996,2,5,"hc",19.0954773869347
"196","hyde_reef",1996,2,5,"ma",1.00502512562814
"197","hyde_reef",1996,2,5,"ot",4.02010050251256
"198","hyde_reef",1996,2,5,"sc",40.7035175879397
"199","hyde_reef",1996,2,5,"sp",14.070351758794
"200","hyde_reef",1996,2,5,"ta",15.0753768844221
"201","hyde_reef",1996,3,1,"ab",2.5
"202","hyde_reef",1996,3,1,"ca",5.5
"203","hyde_reef",1996,3,1,"hc",12.5
"204","hyde_reef",1996,3,1,"ma",1
"205","hyde_reef",1996,3,1,"ot",2.5
"206","hyde_reef",1996,3,1,"sc",45.5
"207","hyde_reef",1996,3,1,"sp",8
"208","hyde_reef",1996,3,1,"ta",22.5
"209","hyde_reef",1996,3,2,"ab",3
"210","hyde_reef",1996,3,2,"ca",5.5
"211","hyde_reef",1996,3,2,"hc",15
"212","hyde_reef",1996,3,2,"ma",0.5
"213","hyde_reef",1996,3,2,"ot",5.5
"214","hyde_reef",1996,3,2,"sc",44.5
"215","hyde_reef",1996,3,2,"sp",12.5
"216","hyde_reef",1996,3,2,"ta",13.5
"217","hyde_reef",1996,3,3,"ab",0.5
"218","hyde_reef",1996,3,3,"ca",6.5
"219","hyde_reef",1996,3,3,"hc",13
"220","hyde_reef",1996,3,3,"ma",1.5
"221","hyde_reef",1996,3,3,"ot",3.5
"222","hyde_reef",1996,3,3,"sc",46
"223","hyde_reef",1996,3,3,"sp",10
"224","hyde_reef",1996,3,3,"ta",19
"225","hyde_reef",1996,3,4,"ab",1.5
"226","hyde_reef",1996,3,4,"ca",7
"227","hyde_reef",1996,3,4,"hc",14.5
"228","hyde_reef",1996,3,4,"ma",0.5
"229","hyde_reef",1996,3,4,"ot",1
"230","hyde_reef",1996,3,4,"sc",42
"231","hyde_reef",1996,3,4,"sp",18.5
"232","hyde_reef",1996,3,4,"ta",15
"233","hyde_reef",1996,3,5,"ab",4
"234","hyde_reef",1996,3,5,"ca",4
"235","hyde_reef",1996,3,5,"hc",11
"236","hyde_reef",1996,3,5,"ma",1.5
"237","hyde_reef",1996,3,5,"ot",1.5
"238","hyde_reef",1996,3,5,"sc",41
"239","hyde_reef",1996,3,5,"sp",17.5
"240","hyde_reef",1996,3,5,"ta",19.5
"241","hyde_reef",1997,1,1,"ab",0.5
"242","hyde_reef",1997,1,1,"ca",21.5
"243","hyde_reef",1997,1,1,"hc",32.5
"244","hyde_reef",1997,1,1,"ma",1.5
"245","hyde_reef",1997,1,1,"ot",9.5
"246","hyde_reef",1997,1,1,"sc",19
"247","hyde_reef",1997,1,1,"sp",8
"248","hyde_reef",1997,1,1,"ta",7.5
"249","hyde_reef",1997,1,2,"ab",0.5
"250","hyde_reef",1997,1,2,"ca",8.5
"251","hyde_reef",1997,1,2,"hc",31.5
"252","hyde_reef",1997,1,2,"ma",3
"253","hyde_reef",1997,1,2,"ot",5
"254","hyde_reef",1997,1,2,"sc",27
"255","hyde_reef",1997,1,2,"sp",4
"256","hyde_reef",1997,1,2,"ta",20.5
"257","hyde_reef",1997,1,3,"ab",0.5
"258","hyde_reef",1997,1,3,"ca",21
"259","hyde_reef",1997,1,3,"hc",28.5
"260","hyde_reef",1997,1,3,"ma",1.5
"261","hyde_reef",1997,1,3,"ot",2
"262","hyde_reef",1997,1,3,"sc",37
"263","hyde_reef",1997,1,3,"sp",1
"264","hyde_reef",1997,1,3,"ta",8.5
"265","hyde_reef",1997,1,4,"ab",0.526315789473684
"266","hyde_reef",1997,1,4,"ca",7.36842105263158
"267","hyde_reef",1997,1,4,"hc",15.7894736842105
"268","hyde_reef",1997,1,4,"ma",1.05263157894737
"269","hyde_reef",1997,1,4,"ot",2.10526315789474
"270","hyde_reef",1997,1,4,"sc",63.6842105263158
"271","hyde_reef",1997,1,4,"sp",1.57894736842105
"272","hyde_reef",1997,1,4,"ta",7.89473684210526
"273","hyde_reef",1997,1,5,"ab",1
"274","hyde_reef",1997,1,5,"ca",12
