Campaign,Year,Season,Date,Observer,site,Habitat,Transect,Substrate,proportion
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,1,Montipora,0.02
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,1,Porites,0.12
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,1,Dead coral,0.02
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,1,Dictyota,0.02
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,1,Halimeda,0.06
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,1,Turbinaria,0.04
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,1,Rubble,0.14
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,1,Sand,0.26
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,1,Pavement,0.32
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,2,Porites,0.28
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,2,Macroalgae,0.02
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,2,Rubble,0.22
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,2,Sand,0.2
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,2,Pavement,0.28
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,3,Porites,0.02
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,3,Dictyota,0.02
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,3,Halimeda,0.04
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,3,Turbinaria,0.04
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,3,Rubble,0.46
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,3,Sand,0.2
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Barrier reef,3,Pavement,0.22
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Fringing reef,1,Porites,0.04
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Fringing reef,1,Rubble,0.68
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Fringing reef,1,Sand,0.08
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Fringing reef,1,Pavement,0.2
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Fringing reef,2,Porites,0.04
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Fringing reef,2,Rubble,0.64
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Fringing reef,2,Sand,0.14
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Fringing reef,2,Pavement,0.18
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Fringing reef,3,Montipora,0.02
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Fringing reef,3,Porites,0.12
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Fringing reef,3,Rubble,0.52
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Fringing reef,3,Sand,0.08
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Fringing reef,3,Pavement,0.26
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,1,Acropora,0.18
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,1,Leptastrea,0.02
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,1,Pocillopora,0.18
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,1,Porites,0.04
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,1,Rubble,0.2
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,1,Pavement,0.38
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,2,Acropora,0.04
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,2,Montipora,0.04
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,2,Pocillopora,0.12
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,2,Porites,0.02
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,2,Rubble,0.08
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,2,Pavement,0.7
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,3,Acropora,0.02
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,3,Montipora,0.02
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,3,Pavona,0.04
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,3,Pocillopora,0.2
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,3,Porites,0.06
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,3,Rubble,0.08
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,3,Sand,0.02
1,2004,Oct,4/8/2004,Yannick Chancerelle,Afareaitu,Outer slope,3,Pavement,0.56
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,1,Millepora,0.0204
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,1,Montipora,0.0408
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,1,Porites,0.1224
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,1,Turbinaria,0.0204
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,1,Rubble,0.102
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,1,Sand,0.1633
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,1,Pavement,0.5306
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,2,Acropora,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,2,Porites,0.32
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,2,Rubble,0.16
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,2,Sand,0.08
