"Site_name","Lat","Long"
"Tiahura",-17.48475,-149.8996944
"Tiahura",-17.48283333,-149.8994444
"Tiahura",-17.4889444,-149.8995278
"Afareaitu",-17.56585,-149.78585
"Aroa",-17.47336667,-149.7772333
"Entre 2 baies",-17.48028333,-149.8367667
"Gendron",-17.50016667,-149.92245
"Haapiti",-17.55093333,-149.8962
"Maatea",-17.5923,-149.7957833
"Motu Ahi",-17.54603333,-149.7718667
"Nuarei",-17.49965,-149.7575833
"Pihaena",-17.48263333,-149.82825
"Taotaha",-17.5321,-149.9158333
"Temae",-17.50575,-149.7617667
"Tetaiuo",-17.50898333,-149.9234
"Tiahura",-17.48575,-149.8997
"Afareaitu",-17.56918333,-149.7840833
"Aroa",-17.47075,-149.7774
"Entre 2 baies",-17.47553333,-149.8370333
"Gendron",-17.4995,-149.9275667
"Haapiti",-17.55438333,-149.8977333
"Maatea",-17.5962,-149.7945
"Motu Ahi",-17.54913333,-149.7706333
"Nuarei",-17.50063333,-149.75465
"Pihaena",-17.4766,-149.8290333
"Taotaha",-17.53336667,-149.9188167
"Temae",-17.50675,-149.7599667
"Tetaiuo",-17.50521667,-149.9275333
"Tiahura",-17.483,-149.89975
"Afareaitu",-17.56241667,-149.7898833
"Aroa",-17.47391667,-149.7769
"Entre 2 baies",-17.48405,-149.8365167
"Gendron",-17.50096667,-149.9181333
"Haapiti",-17.54628333,-149.8925833
"Maatea",-17.59038333,-149.8011667
"Motu Ahi",-17.54446667,-149.7755667
"Nuarei",-17.49786667,-149.7582167
"Pihaena",-17.48455,-149.82795
"Taotaha",-17.52985,-149.9107833
"Temae",-17.50381667,-149.7659333
"Tetaiuo",-17.50758333,-149.9188667
"Tiahura",-17.4891,-149.9000833
"Entre 2 Baies",-17.48028333,-149.8367667
"Entre 2 Baies",-17.48405,-149.8365167
"Moorea Entre 2 Baies",-17.479333,-149.851833
"Moorea Haapiti",-17.565,-149.8869444
"Moorea Tiahura 3-4",-17.470832,-149.901168
